영문공항명,한글공항명,공항코드1(IATA),공항코드2(ICAO)
Tri-Cities Regional Airport,트라이시티 지역공항,TRI,KTRI
Trieste Friuli Venezia Giulia Airport ,트리스테 푸뤼우리 베네지아 구일리아 공항,TRS,LIPQ
Trollhattan-Vanersborg Airport,트롤하탄 베네르스보리 공항,THN,ESGT
Tromso Airport,트롬쇠 공항,TOS,ENTC
Trondheim Airport ,트론드하임 공항,TRD,ENVA
Troyes Barberey Airport,트루아 바벌리 공항,QYR,LFQB
Tsentralny Airport,첸틀러니 공항,OMS,UNOO
Tsentralny Airport,첸틀러니 공항,REN,UWOO
Tsentralny Airport,체츨라니 공항,RTW,UWSS
Tsushima Airport,쓰시마 /츠시마 공항,TSJ,RJDT
Tte. Gral. Benjamin Matienzo International Airport ,타트 제네랄 벤쟈민 마티엔조 국제공항,TUC,SANT
Tubuai Airport,투부아이 공항,TUB,NTAT
Tucson International Airport,투손 국제공항,TUS,KTUS
Tuguegarao Airport,터그라우 공항,TUG,RPUT
Tulcea Airport,툴체아 공항,TCE,LRTC
Tullamarine Airport ,툴라마린 공항 ,MEL,YMML
Tulsa International Airport,털사 국제 공항,TUL ,KTUL
Tumxuk Tangwangcheng Airport,툭툭 탕왕 청 공항,TWC,
Tunis-Carthage International Airport,튀니스 카르타쥐 국제공항,TUN,DTTA
Tunoshna Airport,툰쇼나 공항,IAR,UUDL
Turaif Domestic Airport,퉈리프 국내공항,TUI,OETR
Turany Airport,튀라니 공항,BRQ,LKTB
Turbat International Airport,터밧 국제공항,TUK,OPTU
Tureia Airport,터 레이아 공항,ZTA,NTGY
Turial Air Force Base,투리알 공군기지,AJL,VEAZ
Turin International Airport ,투린 국제공항 국제공항,TRN,LIMF
Turku Airport,투르쿠 공항,TKU,EFTU
Turpan Jiaohe Airport,투르판 교아오 공항,TLQ,ZWTP
Tuticorin Airport,투티코린 공항,TCR,VO80
Tuzla International Airport,투즐라 국제공항,TZL,LQTZ
Tweed New Haven Regional Airport,트위드 뉴해븐 지역공항,HVN,KHVN
Tynda Airport,틴다 공항,TYD,UHBW
Ua Pou Airport,우아 파우 공항,UAP,NTMP
Ua-Huka Airport,우아 후카 공항,UAH,NTMU
Uberaba Airport,우베라바 공항,UBA,SBUR
Uberlandia Airport,우벨란디아 공항,UDI,SBUL
Ubon Ratchathani Airport,유본 라차태니 공항,UBP,VTUU
Udon Thani Airport,우돈타니 공항,UTH,VTUD
Ufa Airport,우파 공항,UFA,UWUU
Ugolny Airport,우골리 공항,DYR,UHMA
Ulanhot Airport,우란하오터 공항,HLH,ZBUL
Ulanqab Airport,Ulanqab 공항,UCB,ZBUC
Ulsan Airport,울산 공항,USN,RKPU
Ulyanovsk Vostochny Airport,울리야놉스크 보스토치니 공항,ULY,UWLW
Umea Airport,우메오 공항,UME,ESNU
Upington Airport,우핑턴 공항,UTN,FAUP
Urgench Airport,우르겐치 공항,UGC,UTNU
Uribe Airport,우리베 공항,URI,SKUB
Urmia Airport,우르 미아 공항,OMH,OITR
Urumqi Diwopu International Airport,우루무치 디와푸 국제공항,URC,ZWWW
Usak Airport,우삭 공항,USQ,LTBO
U-Tapao International Airport,우타파오 국제공항,UTP,VTBU
Utti Airport,유트 공항,UTI,EFUT
Uturoa Airport,우투로아 공항,RFP,NTTR
Uytash Airport,우이타쉬 공항,MCX,URML
Uzhhorod Airport,우쵸러드 공항,UDJ,UKLU
Vaasa Airport,바사 공항,VAA,EFVA
Vadodara Airport / Vadodara Air Force Base,바도다라 공항 ,BDQ,VABO
Vadso Airport,바드쇠 공항,VDS,ENVD
Vaeroy Heliport ,브로이 헬리포트 ,VRY,ENVR
Vagar Airport,바가 공항,FAE,EKVG
Vahitahi Airport,버히타이 공항,VHZ,NTUV
Val de Cans Airport,발 데 칸즈 공항,BEL,SBBE
Valan Airport,발란 공항,HVG,ENHV
Valencia Airport,발렌시아 공항,VLC,LEVC
Valenciennes-Denain Airport,발렌시아 - 데 네인 공항,XVS,LFAV
Valladolid Airport,바야돌리드 공항,VLL,LEVD
Vallee de Seine Airport,발레 드 세느 공항,URO,LFOP
Vals-Lanas Airport,발 라나 공항,OBS,LFHO
Van Ferit Melen Airport,반 페리 멜렌 공항,VAN,LTCI
Van Nuys Airport,반 누이 공항,VNY,KVNY
Vancouver International Airport,밴쿠버 국제공항,YVR,CYVR
Vardo Airport,바르되 공항,VAW,ENSS
Variguies Airport,배리구이즈 공항,EJA,SKEJ
Varkaus Airport,바카우스 공항,VRK,EFVR
Varna International Airport,바르나 국제공항,VAR,LBWN
Vasteras / Hasslo Airport,바스테라스 하슬로 공항,VST,ESOW
Vaxjo Airport,벡셰 공항,VXO,ESMX
Veer Savarkar Airport ,버 사바카르 공항,IXZ,VOPB
Velazco Astete Airport,벨라쵸 아스테테 공항,CUZ,SPZO
Vestmannaeyjar Airport,베스트만네이야 공항,VEY,BIVM
Vicecomodoro Aragonez Airport,바이스코모도로 아라고네즈 공항,SDE,SANE
Vichy Charmeil Airport,비시 샤메이 공항,VHY,LFLV
Victoria Falls Airport,빅토리아폴스 공항,VFA,FVFA
Victoria International Airport,빅토리아 국제공항,YYJ,CYYJ
Vienna International Airport,비엔나 국제공항,VIE,LOWW
Vieques Airport ,비케스 공항,VQS,TJVQ
Vigan Airport,비간공항,VGN,RPUQ
Vigo-Peinador International Airport,비고 피내이더 국제공항,VGO,LEVX
Vigra Airport,바이그라 공항,AES,ENAL
Vijayawada Airport,비쟈와와다 공항,VGA,VOBZ
Vila do Maio Airport,빌라 도마이오 공항,MMO,GVMA
Vila do Porto Airport,빌라 도 포르토 공항,SMA,LPAZ
Vilankulo Airport,빌라쿨로 공항,VNX,FQVL
Vilhelmina Airport,빌헬미나 공항,VHM,ESNV
Villa Garzon Airport,빌라 가봉 공항,VGZ,SKVG
Villa Reynolds Airport,빌라 레이놀즈 공항,VME,SAOR
Villafranca Veronese Airport ,빌라프랑카 베로니스 공항 ,VRN,LIPX
Villanova dAlbenga International Airport ,빌라노바 알벵가 국제공항 ,ALL,LIMG
Vilnius International Airport,빌니우스 국제공항,VNO,EYVI
Vincent Magliocco Airport ,빈세트 마글리오초 공항 ,CIY,LICB
Vincenzo Florio Airport ,빈첸초 플로리오 공항,TPS,LICT
Vinh Airport,비니 공항,VII,VVVH
Virac Airport,바이락 공항,VRC,RPUV
Viracopos Airport,비라코포스 공항,VCP,SBKP
Viru Viru International Airport,비루 비루 국제공항,VVI,SLVR
Visakhapatnam Airport,비샤카파트남 공항,VTZ,VEVZ
Visby Airport,비스뷔 공항,VBY,ESSV
Vitoria Airport,비토리아 공항,VIT,LEVT
Vityazevo Airport,비타야제프 공항,AAQ,URKA
Vladivostok International Airport,블라디보스토크 국제공항,VVO,UHWW
Vnukovo Airport,부누코프 공항,VKO,UUWW
Vorkuta Airport,보쿠타 공항,VKT,UUYW
W.A. Mozart Airport,W.A 모자르트 공항,SZG,LOWS
Wadi al-Dawasir Domestic Airport,와디 알 다와지르 국내공항,WAE,OEWD
Wadyslaw Reymont Airport ,웨디슬라프 레이몬트 공항 ,LCJ,EPLL
Wales Airport,웨일스 공항,IWK,PAIW
Walker Field Airport,워커 필드 공항,GJT,KGJT
Walla Walla Regional Airport,왈라왈라 지역 공항,ALW,KALW
Wang-an Airport,왕안공항,WOT,RCWA
Wanzhou Wuqiao Airport,완주우 차오 국제공항,WXN,ZUWX
Warri Airport,Warri 공항,QRW,DNSU
Warsaw Frederic Chopin Airport,바르샤바 프레데릭 쇼팽 공항,WAW,EPWA
Warsaw Modlin Airport,바르샤바 모드 린 공항,WMI,EPMO
Washington Dulles International Airport,워싱턴 덜레스 국제공항,IAD,KIAD
Waterford Airport,워터퍼드 공항,WAT,EIWF
Waterloo Regional Airport,워털루 공항,ALO,KALO
Weeze Airport ,위즈 공항,NRN,EDLV
Weifang Airport,웨이팡 공항,WEF,ZSWF
Weihai Dashuibo Airport,위해 대우위보 공항,WEH,ZSWH
Weipa Airport,웨이파 공항,WEI,YBWP
Wellington International Airport,웰링턴 국제공항,WLG,NZWN
Wenshan Puzhehei Airport,웬샨푸제헤이 공항,WNH,ZPWS
Wenzhou International Airport,원저우 국제공항,WNZ,ZSWZ
Westchester County Airport,웨스트체스터 카운티 공항,HPN,KHPN
Whitsunday Coast Airport,휘천데이 코스트 공항,PPP,YBPN
Wichita Mid-Continent Airport,위치토 미드 컨티넌트 공항,ICT,KICT
Wick John OGroats Airport,윅 존 오그로츠 공항,WIC,EGPC
Will Rogers World Airport,윌 로저스 월드 공항,OKC,KOKC
Williamtown Airport,윌리암타운 공항,NTL,YWLM
Williston Basin International Airport,윌리 스톤 바신 국제 공항,XWA,KXWA
Wilmington International Airport,월밍턴 국제공항,ILM,KILM
Wilson Airport,윌슨 공항,WIL,HKNW
Winnipeg James Armstrong Richardson International Airport,위니펙 제임스 암스트롱 리챠슨 국제공항,YWG,CYWG
Wollongong Airport,울릉공 공항,WOL,YWOL
Wonju Airport,원주 공항,WJU,RKNW
Wudalianchi Airport,Wudalianchi 공항,DTU,
Wuhai Airport,우하이 공항,WUA,ZBUH
Wuhan Tianhe Airport,우한 티안헤 공항,WUH,ZHHH
Wuxi Airport,우시 공항,WUX,ZSWX
Wuzhou Changzhoudao Airport,우저우 장쩌우다우 공항,WUZ,ZGWZ
Xiamen Gaoqi International Airport,샤먼 가오츠 국제공항,XMN,ZSAM
Xiangfan Airport,샹판 공항,XFN,ZHXF
Xianyang Airport ,샹양 공항 ,XIY,ZLXY
Xichang Qingshan Airport,시창 칭산 공항,XIC,ZUXC
Xilinhot Airport,시린하오터 공항,XIL,ZBXH
Xingyi Wanfenglin Airport,싱이 완펑린 공항,ACX,ZUYI
Xining Airport,시닝 공항,XNN,ZLXN
Xinyang Minggang Airport,신양 밍강 공항,XAI,ZHXY
Xinyuan Nalati Airport,신유안 날라티 공항,NLT,ZWNL
Xinzhou Wutaishan Airport,Xinzhou Wutaishan 공항,WUT,ZBXZ
Xoxocotlan Airport,속소코탄 공항,OAX,MMOX
Yakushima Airport,야쿠시마 공항,KUM,RJFC
Yakutsk Airport,야쿠츠크 공항,YKS,UEEE
Yamaguchi Ube Airport,야마구치 우베 공항,UBJ,RJDC
Yampa Valley Airport,얌파 밸리 공항,HDN,KHDN
Yanamilla Airport,야나밀라 공항,AYP,SPHO
Yanan Airport,옌안 공항,ENY,ZLYA
Yanbu Domestic Airport,옌부 국내공항,YNB,OEYN
Yancheng Nanyang International Airport,옌청 남양 국제 공항,YNZ,ZSYN
Yangyang International Airport,양양 국제공항,YNY,RKNY
Yangzhou Taizhou Airport,양주 타이저우 공항,YTY,ZSYA
Yanji Airport,옌지 연길 공항,YNJ,ZYYJ
Yasuj Airport,Yasuj 공항,YES,OISY
Yeager Airport,예이거 공항,CRW,KCRW
Yelizovo Airport ,옐리초프 공항,PKC,UHPP
Yenisehir Airport,예세니르 공항,YEI,LTBR
Yeosu Airport,여수 공항,RSU,RKJY
Yibin Airport,이빈 공항,YBP,ZUYB
Yichang Airport,이창 공항,YIH,ZHYC
Yichun Lindu Airport,이춘 린두 공항,LDS,ZYLD
Yichun Mingyueshan Airport,이춘 명월산 공항,YIC,ZSYC
Yinchuan Helanshan Airport,인촨 헤란산 공항,INC,ZLIC
Yingkou Lanqi Airport,잉커우란키 공항,YKH,ZYYK
Yining Airport,이닝 공항,YIN,ZWYN
Yiwu Airport,이우 공항,YIW,ZSYW
Yogyakarta International Airport,족자카르타 국제공항,YIA,WAHI
Yola Airport,욜라 공항,YOL,DNYO
Yonaguni Airport,요나구미 공항,OGN,ROYN
Yongxing Island Airport,영흥 섬 공항,XYI,ZJYX
Yongzhou Lingling Airport,용저우 링링 공항,LLF,ZGLG
Yoron Airport,요룬 공항,RNJ,RORY
Yoshkar-Ola Airport,요시카르올라 공항,JOK,UWKJ
Yueyang Sanhe Airport,웨양 산허 공항,YYA,ZGYY
Yulin Airport,위린 공항,UYN,ZLYL
Yulin Fumian Airport,위린 푸미안 공항,YLX,ZGYL
Yuma International Airport / Yuma Marine Corps Air Station,유마 국제공항 ,YUM,KNYL
Yuncheng Guangong Airport,Yuncheng Guangong 공항,YCU,ZBYC
Yundum International Airport,반줄 국제공항,BJL,GBYD
Yushu Batang Airport,유수 반탕 공항,YUS,ZLYS
Yutian Wanfang Airport,위티엔 완팡 공항,YTW,ZWYT
Yuzhno-Sakhalinsk Airport,유즈노 사헐린스크 공항,UUS,UHSS
Yuzhny Airport,유즈니 공항,IWA,UUBI
Zabol Airport,자불 공항,ACZ,OIZB
Zadar Airport,자다르 공항,ZAD,LDZD
Zafer Airport,자퍼 공항,KZR,LTBZ
Zagora Airport,Zagora Airport,OZG,GMAZ
Zahedan International Airport,자히단 국제공항,ZAH,OIZH
Zamboanga International Airport,삼보앙가 국제공항,ZAM,RPMZ
Zanderij International Airport ,잰더리지 국제공항 ,PBM,SMJP
Zanjan Airport,Zanjan 공항,JWN,OITZ
Zaqatala International Airport,자카따라 국제공항,ZTU,UBBY
Zaragoza Airport,사라고사 공항,ZAZ,LEZG
Zenata Airport,제너타 공항,TLM,DAON
Zhalantun Chengjisihan Airport,Zhalantun Chengjisihan 공항,NZL,ZBZL
Zhangjiajie Hehua Airport,장가계 Hehua 공항,DYG,ZGDY
Zhangjiakou Ningyuan Airport,장가항닝원 공항,ZQZ,ZBZJ
Zhangye Ganzhou Airport,장계 간저우 공항,YZY,ZLZY
Zhanjiang Airport,잔장 공항,ZHA,ZGZJ
Zhaotong Airport,자오퉁 공항,ZAT,ZPZT
Zhengzhou Xinzheng International Airport,정저우 신젱 국제공항,CGO,ZHCC
Zhob Airport,조브 공항,PZH,OPZB
Zhongwei Shapotou Airport,중웨이 샤포우 공항,ZHY,ZLZW
Zhoushan Airport,조우산 공항,HSN,ZSZS
Zhuhai International Airport,주하이 국제공항,ZUH,ZGSD
Zhulyany Airport,출랴니 공항,IEV,UKKK
Ziguinchor Airport,지겐코르 공항,ZIG,GOGG
Zihuatanejo International Airport,지오아타네호 국제공항,ZIH,MMZH
Zilina Airport,질리나 공항,ILZ,LZZI
Zinder Airport,진더 공항,ZND,DRZR
Zonguldak Airport,종각덕 공항,ONQ,LTAS
Zunyi Airport,쭌이 공항,ZYI,ZUZY
Zurich International Airport,취리히 국제공항,ZRH,LSZH
Zvartnots International Airport ,즈바노츠 국제공항 ,EVN,UDYZ
